zipcode,risk,count,area_mile2
10030,medium,59,0.2772643970436592
10031,high,1514,0.6691404963689086
10031,low,49,0.6691404963689086
10031,medium,68,0.6691404963689086
10032,high,913,0.6726419956242086
10032,low,41,0.6726419956242086
10032,medium,78,0.6726419956242086
10033,high,667,0.596451552467864
10033,low,23,0.596451552467864
10033,medium,90,0.596451552467864
10034,high,436,1.0224584005372697
10034,low,77,1.0224584005372697
10034,medium,117,1.0224584005372697
10035,high,962,1.4046542144359837
10035,low,337,1.4046542144359837
10035,medium,148,1.4046542144359837
10036,high,858,0.4472376921037883
10036,low,69,0.4472376921037883
10036,medium,164,0.4472376921037883
10037,high,301,0.232813265644426
10037,low,28,0.232813265644426
10037,medium,67,0.232813265644426
10038,high,309,0.2886394912838645
10038,low,21,0.2886394912838645
10038,medium,74,0.2886394912838645
10039,high,279,0.29917602842246677
10039,low,31,0.29917602842246677
10039,medium,40,0.29917602842246677
10040,high,402,0.5670005531382881
10040,low,20,0.5670005531382881
10040,medium,54,0.5670005531382881
10044,high,7,0.23006961986590513
10044,low,11,0.23006961986590513
10044,medium,49,0.23006961986590513
10045,high,1,
10055,medium,1,
10065,high,966,0.41908245415802853
10065,low,73,0.41908245415802853
10065,medium,168,0.41908245415802853
10069,high,6,0.04100286373538179
10069,low,2,0.04100286373538179
10069,medium,7,0.04100286373538179
10075,high,574,0.18902186024280268
10075,low,26,0.18902186024280268
10075,medium,91,0.18902186024280268
10103,high,2,
10103,low,1,
10105,high,1,
10105,low,1,
10105,medium,3,
10106,high,1,
10106,medium,1,
10110,high,1,
10112,high,1,
10118,high,1,
10119,medium,1,
10120,high,1,
10121,low,3,
10122,high,1,
10123,high,3,
10128,high,1167,0.45295149963016285
10128,low,46,0.45295149963016285
10128,medium,177,0.45295149963016285
10151,high,1,
10155,low,1,
10155,medium,1,
10158,medium,1,
10165,high,1,
10169,high,1,
10170,high,1,
10175,high,1,
10176,high,1,
10271,high,1,
10278,medium,2,
10279,high,1,0.004171833089574068
10280,high,22,0.10676948247589757
10280,low,1,0.10676948247589757
10280,medium,2,0.10676948247589757
10281,medium,3,
10282,high,10,0.06866698257340655
10282,low,9,0.06866698257340655
10282,medium,4,0.06866698257340655
10301,high,5212,3.7577271166214268
10301,low,1132,3.7577271166214268
10301,medium,2586,3.7577271166214268
10302,high,3912,1.1932310169172342
10302,low,717,1.1932310169172342
10302,medium,1243,1.1932310169172342
10303,high,2406,3.1692137828022866
10303,low,2124,3.1692137828022866
10303,medium,2289,3.1692137828022866
10304,high,3994,3.4907945934326006
10304,low,2802,3.4907945934326006
10304,medium,3916,3.4907945934326006
10305,high,3356,4.019731656475404
10305,low,3521,4.019731656475404
10305,medium,5141,4.019731656475404
10306,high,4012,7.228947705137848
10306,low,3913,7.228947705137848
10306,medium,10678,7.228947705137848
10307,high,1572,1.6135849712384391
10307,low,2064,1.6135849712384391
10307,medium,1161,1.6135849712384391
10308,high,1555,2.185356553702166
10308,low,1611,2.185356553702166
10308,medium,5987,2.185356553702166
10309,high,1261,7.254188666128599
10309,low,5310,7.254188666128599
10309,medium,4198,7.254188666128599
10310,high,5367,1.8024002689853396
10310,low,997,1.8024002689853396
10310,medium,1796,1.8024002689853396
10312,high,1394,6.8716653152393805
10312,low,5803,6.8716653152393805
10312,medium,12363,6.8716653152393805
10314,high,4454,12.996831358140204
10314,low,4265,12.996831358140204
10314,medium,17580,12.996831358140204
10451,high,707,1.056193296766518
10451,low,339,1.056193296766518
10451,medium,163,1.056193296766518
10452,high,1040,0.9822161300587711
10452,low,280,0.9822161300587711
10452,medium,129,0.9822161300587711
10453,high,1604,0.9012428102362839
10453,low,434,0.9012428102362839
10453,medium,142,0.9012428102362839
10454,high,1134,1.0600598197658997
10454,low,486,1.0600598197658997
10454,medium,174,1.0600598197658997
10455,high,1061,0.7013028383374366
10455,low,553,0.7013028383374366
10455,medium,195,0.7013028383374366
10456,high,1807,1.0763971734788422
10456,low,711,1.0763971734788422
10456,medium,259,1.0763971734788422
10457,high,1918,1.3186997637713962
10457,low,613,1.3186997637713962
10457,medium,355,1.3186997637713962
10458,high,2419,1.220956361073405
10458,low,331,1.220956361073405
10458,medium,156,1.220956361073405
10459,high,1212,0.8316909757892731
10459,low,1123,0.8316909757892731
10459,medium,242,0.8316909757892731
10460,high,2087,1.4986544126391217
10460,low,790,1.4986544126391217
10460,medium,294,1.4986544126391217
10461,high,5853,2.3881824014776827
10461,low,529,2.3881824014776827
10461,medium,3054,2.3881824014776827
10462,high,3354,1.4974975765270715
10462,low,381,1.4974975765270715
10462,medium,1740,1.4974975765270715
10463,high,1679,2.7528318649537513
10463,low,219,2.7528318649537513
10463,medium,739,2.7528318649537513
10464,high,1485,3.0535144290209146
10464,low,134,3.0535144290209146
10464,medium,478,3.0535144290209146
10465,high,5278,3.920429395668043
10465,low,953,3.920429395668043
10465,medium,4757,3.920429395668043
10466,high,6184,2.015059174106985
10466,low,896,2.015059174106985
10466,medium,4164,2.015059174106985
10467,high,3805,2.3305316900243187
10467,low,494,2.3305316900243187
10467,medium,1198,2.3305316900243187
10468,high,1469,1.0461737371988744
10468,low,173,1.0461737371988744
10468,medium,165,1.0461737371988744
10469,high,4067,2.425747183573619
10469,low,1094,2.425747183573619
10469,medium,7942,2.425747183573619
10470,high,2006,1.4358044114061717
10470,low,163,1.4358044114061717
10470,medium,695,1.4358044114061717
10471,high,1421,1.7130805460750855
10471,low,161,1.7130805460750855
10471,medium,956,1.7130805460750855
10472,high,3495,1.0775850526306583
10472,low,300,1.0775850526306583
10472,medium,1279,1.0775850526306583
10473,high,2277,2.137905977880287
10473,low,1332,2.137905977880287
10473,medium,2491,2.137905977880287
10474,high,716,1.5340421094499095
10474,low,244,1.5340421094499095
10474,medium,347,1.5340421094499095
10475,high,300,1.2426702065602637
10475,low,221,1.2426702065602637
10475,medium,600,1.2426702065602637
10803,high,5,2.2123788195143295
10803,low,5,2.2123788195143295
10803,medium,20,2.2123788195143295
11001,high,492,2.2052924984451354
11001,low,73,2.2052924984451354
11001,medium,1395,2.2052924984451354
11004,high,111,0.9510681448041767
11004,low,112,0.9510681448041767
11004,medium,4809,0.9510681448041767
11005,low,3,0.1834561195774526
11005,medium,10,0.1834561195774526
11021,high,7,2.378962965259761
11021,medium,4,2.378962965259761
11040,high,8,4.809125511236616
11040,low,29,4.809125511236616
11040,medium,1007,4.809125511236616
11101,high,2188,2.5871679374022984
11101,low,514,2.5871679374022984
11101,medium,780,2.5871679374022984
11102,high,2379,0.700944932791137
11102,low,356,0.700944932791137
11102,medium,719,0.700944932791137
11103,high,3920,0.6921181911468711
11103,low,216,0.6921181911468711
11103,medium,1311,0.6921181911468711
11104,high,1548,0.43722053764030955
11104,low,20,0.43722053764030955
11104,medium,361,0.43722053764030955
11105,high,5025,1.6337156984781056
11105,low,456,1.6337156984781056
11105,medium,1893,1.6337156984781056
11106,high,2326,0.8567892003973454
11106,low,382,0.8567892003973454
11106,medium,1014,0.8567892003973454
11109,high,6,0.04617045592272233
11109,low,2,0.04617045592272233
11109,medium,2,0.04617045592272233
11201,high,2986,1.353929918474408
11201,low,307,1.353929918474408
11201,medium,235,1.353929918474408
11203,high,11897,2.1389869890791133
11203,low,430,2.1389869890791133
11203,medium,3258,2.1389869890791133
11204,high,11215,1.594511822482084
11204,low,559,1.594511822482084
11204,medium,1238,1.594511822482084
11205,high,2219,1.171345840458767
11205,low,480,1.171345840458767
11205,medium,514,1.171345840458767
11206,high,3029,1.4009884578348528
11206,low,1312,1.4009884578348528
11206,medium,356,1.4009884578348528
11207,high,8096,2.7199485393563365
11207,low,2774,2.7199485393563365
11207,medium,1150,2.7199485393563365
11208,high,9383,2.6764207281994086
11208,low,2051,2.6764207281994086
11208,medium,1288,2.6764207281994086
11209,high,10745,2.1133149052765123
11209,low,212,2.1133149052765123
11209,medium,896,2.1133149052765123
11210,high,12062,1.6487756807624594
11210,low,319,1.6487756807624594
11210,medium,842,1.6487756807624594
11211,high,4713,1.4550507697073656
11211,low,682,1.4550507697073656
11211,medium,382,1.4550507697073656
