MODZCTA,Month,Date,Year,Hour,Count,Latitude,Longitude
10001.0,3,13,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,3,14,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,3,15,2023,15,1,-73.99713787189704,40.75068819675726
10001.0,3,15,2024,3,1,-73.99713787189704,40.75068819675726
10001.0,3,18,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,3,18,2024,12,1,-73.99713787189704,40.75068819675726
10001.0,3,19,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,3,22,2023,3,1,-73.99713787189704,40.75068819675726
10001.0,3,22,2024,13,1,-73.99713787189704,40.75068819675726
10001.0,3,23,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,3,23,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,3,25,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,3,27,2022,23,1,-73.99713787189704,40.75068819675726
10001.0,3,28,2024,1,1,-73.99713787189704,40.75068819675726
10001.0,3,29,2022,16,1,-73.99713787189704,40.75068819675726
10001.0,3,30,2022,10,1,-73.99713787189704,40.75068819675726
10001.0,3,30,2023,23,1,-73.99713787189704,40.75068819675726
10001.0,3,30,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,3,31,2022,5,1,-73.99713787189704,40.75068819675726
10001.0,3,31,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,4,1,2022,7,1,-73.99713787189704,40.75068819675726
10001.0,4,1,2023,14,1,-73.99713787189704,40.75068819675726
10001.0,4,1,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,4,4,2022,21,1,-73.99713787189704,40.75068819675726
10001.0,4,4,2024,8,1,-73.99713787189704,40.75068819675726
10001.0,4,4,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,4,5,2022,20,1,-73.99713787189704,40.75068819675726
10001.0,4,7,2022,14,1,-73.99713787189704,40.75068819675726
10001.0,4,7,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,4,7,2023,19,1,-73.99713787189704,40.75068819675726
10001.0,4,7,2024,15,1,-73.99713787189704,40.75068819675726
10001.0,4,8,2022,18,1,-73.99713787189704,40.75068819675726
10001.0,4,8,2024,16,1,-73.99713787189704,40.75068819675726
10001.0,4,9,2023,18,1,-73.99713787189704,40.75068819675726
10001.0,4,11,2024,1,1,-73.99713787189704,40.75068819675726
