zipcode,risk,area_mile2,count
11222.0,low,433,433
11222.0,medium,392,392
11223.0,high,10848,10848
11223.0,low,689,689
11223.0,medium,1980,1980
11224.0,high,1461,1461
11224.0,low,654,654
11224.0,medium,1147,1147
11225.0,high,4308,4308
11225.0,low,271,271
11225.0,medium,92,92
11226.0,high,5819,5819
11226.0,low,362,362
11226.0,medium,200,200
11228.0,high,9670,9670
11228.0,low,275,275
11228.0,medium,1613,1613
11229.0,high,11758,11758
11229.0,low,436,436
11229.0,medium,3669,3669
11230.0,high,9779,9779
11230.0,low,456,456
11230.0,medium,681,681
11231.0,high,4105,4105
11231.0,low,343,343
11231.0,medium,370,370
11232.0,high,2574,2574
11232.0,low,289,289
11232.0,medium,393,393
11233.0,high,6388,6388
11233.0,low,1378,1378
11233.0,medium,170,170
11234.0,high,14011,14011
11234.0,low,1046,1046
11234.0,medium,9940,9940
11235.0,high,5477,5477
11235.0,low,706,706
11235.0,medium,3320,3320
11236.0,high,4952,4952
11236.0,low,756,756
11236.0,medium,10841,10841
11237.0,high,3827,3827
11237.0,low,371,371
11237.0,medium,336,336
11238.0,high,4051,4051
11238.0,low,609,609
11238.0,medium,179,179
11239.0,high,50,50
11239.0,low,618,618
11239.0,medium,46,46
11241.0,high,0,1
11249.0,high,1037,1037
11249.0,low,494,494
11249.0,medium,247,247
11251.0,low,0,14
11251.0,medium,0,100
11354.0,high,2669,2669
11354.0,low,644,644
11354.0,medium,3136,3136
11355.0,high,3621,3621
11355.0,low,1158,1158
11355.0,medium,4134,4134
11356.0,high,3237,3237
11356.0,low,1054,1054
11356.0,medium,1908,1908
11357.0,high,4007,4007
11357.0,low,1220,1220
11357.0,medium,9209,9209
11358.0,high,6702,6702
11358.0,low,704,704
11358.0,medium,5624,5624
11359.0,high,0,6
11359.0,low,0,92
11359.0,medium,0,1
11360.0,high,381,381
11360.0,low,221,221
11360.0,medium,3286,3286
11361.0,high,4018,4018
11361.0,low,703,703
11361.0,medium,4211,4211
11362.0,high,1202,1202
11362.0,low,457,457
11362.0,medium,4050,4050
11363.0,high,1678,1678
11363.0,low,172,172
11363.0,medium,886,886
11364.0,high,1553,1553
11364.0,low,354,354
11364.0,medium,8914,8914
11365.0,high,1243,1243
11365.0,low,495,495
11365.0,medium,8361,8361
11366.0,high,1034,1034
11366.0,low,167,167
11366.0,medium,4670,4670
11367.0,high,611,611
11367.0,low,163,163
11367.0,medium,6766,6766
11368.0,high,6426,6426
11368.0,low,1577,1577
11368.0,medium,1850,1850
11369.0,high,4509,4509
11369.0,low,568,568
11369.0,medium,2219,2219
11370.0,high,2127,2127
11370.0,low,176,176
11370.0,medium,3229,3229
11371.0,high,0,40
11371.0,low,0,3
11371.0,medium,0,2
11372.0,high,3057,3057
11372.0,low,108,108
11372.0,medium,658,658
11373.0,high,4857,4857
11373.0,low,731,731
11373.0,medium,3282,3282
11374.0,high,2425,2425
11374.0,low,145,145
11374.0,medium,1984,1984
11375.0,high,5950,5950
11375.0,low,329,329
11375.0,medium,3406,3406
11377.0,high,5064,5064
11377.0,low,681,681
11377.0,medium,3743,3743
11378.0,high,6502,6502
11378.0,low,612,612
11378.0,medium,3321,3321
11379.0,high,5451,5451
11379.0,low,303,303
11379.0,medium,5384,5384
11385.0,high,17391,17391
11385.0,low,371,371
11385.0,medium,1852,1852
11411.0,high,2053,2053
11411.0,low,31,31
11411.0,medium,6724,6724
11412.0,high,9794,9794
11412.0,low,391,391
11412.0,medium,3972,3972
11413.0,high,7139,7139
11413.0,low,986,986
11413.0,medium,6616,6616
11414.0,high,1499,1499
11414.0,low,404,404
11414.0,medium,4949,4949
11415.0,high,1492,1492
11415.0,low,111,111
11415.0,medium,314,314
11416.0,high,4294,4294
11416.0,low,243,243
11416.0,medium,663,663
11417.0,high,6477,6477
11417.0,low,313,313
11417.0,medium,1926,1926
11418.0,high,7007,7007
11418.0,low,244,244
11418.0,medium,364,364
11419.0,high,11045,11045
11419.0,low,383,383
11419.0,medium,659,659
11420.0,high,10787,10787
11420.0,low,816,816
11420.0,medium,3402,3402
11421.0,high,8075,8075
11421.0,low,205,205
11421.0,medium,379,379
11422.0,high,3257,3257
11422.0,low,537,537
11422.0,medium,5999,5999
11423.0,high,5948,5948
11423.0,low,333,333
11423.0,medium,2063,2063
11426.0,high,3303,3303
11426.0,low,114,114
11426.0,medium,4534,4534
11427.0,high,2844,2844
11427.0,low,205,205
11427.0,medium,3972,3972
11428.0,high,6735,6735
11428.0,low,94,94
11428.0,medium,742,742
11429.0,high,6383,6383
11429.0,low,243,243
11429.0,medium,2598,2598
11430.0,high,4,4
11430.0,low,265,265
11430.0,medium,1,1
11432.0,high,6575,6575
11432.0,low,523,523
11432.0,medium,2535,2535
11433.0,high,4774,4774
11433.0,low,1321,1321
11433.0,medium,1738,1738
11434.0,high,8056,8056
11434.0,low,1627,1627
11434.0,medium,4808,4808
11435.0,high,6224,6224
11435.0,low,615,615
11435.0,medium,1695,1695
11436.0,high,4111,4111
11436.0,low,415,415
11436.0,medium,1655,1655
11691.0,high,3348,3348
11691.0,low,1288,1288
11691.0,medium,2704,2704
11692.0,high,768,768
11692.0,low,1145,1145
11692.0,medium,697,697
11693.0,high,1533,1533
11693.0,low,315,315
11693.0,medium,237,237
11694.0,high,3718,3718
11694.0,low,378,378
11694.0,medium,1670,1670
11695.0,high,0,8
11695.0,low,0,2
11697.0,high,124,124
11697.0,low,332,332
11697.0,medium,2469,2469
12345.0,high,0,5
